Date,Squat,Press,Deadlift,Bench,Power clean,notes
September 14:,Squat 5x3 empty bar (big/hollow),Overhead press 5x3 empty bar  (big/hollow),Deadlift 1x5 5lbs  (big/hollow),Squat 5x3 empty bar (big/hollow),Overhead press 5x3 empty bar  (big/hollow),Deadlift 1x5 5lbs  (big/hollow)
September 16:,Squat: 2.5kg,TEST,Deadlift: 5kg,Bench: 5kg,TEST
September 18:,Squat 10kg,Overhead 2.5kg,Deadlift 2.5kg,Deadlift 2.5kg
September 20:,Squat 15kg,TEST,Deadlift 10kg,Bench 10kg,TEST
September 22:,Squat 20kg,Overhead 5kg (couldn't complete last rep),Deadlift: 15kg,Deadlift: 15kg
September 25:,Squat 25kg,TEST,Deadlift:20kg,Bench:15kg,TEST
September 27:,Squat 25kg (tried 30kg completed 1 set but couldn't re rack weight 😓 ),Press:5kg,Deadlift:25kg,TEST,TEST,Squat 25kg (tried 30kg completed 1 set but couldn't re rack weight 😓 )
September 29:,Squat 30kg ✔️,TEST,Deadlift:30kg✔️,"Bench:15kg (can't bench 20kg ✖️, 15kg 2-3 not fully completed cause not bounced off the chest. Also last set, please do again next time🔄)",TEST,"Bench:15kg (can't bench 20kg ✖️, 15kg 2-3 not fully completed cause not bounced off the chest. Also last set, please do again next time🔄)"
October 1:,Squat 32.5kg // couldn't do 35kg✖️ only took one side of the rack (right),Press:2.5kg // one did one set of 5kg✖️,Deadlift:35kg✔️,Squat 32.5kg // couldn't do 35kg✖️ only took one side of the rack (right),Press:2.5kg // one did one set of 5kg✖️
October 4:,Squat:35kg✔️,TEST,TEST,TEST,Bench press:12.5kg✔️,Power clean: the bar,TEST
Deadlift: ---
October 7:,Squat:,Power clean practicing technique,Press
October 10:,Squat 35✔️,Power clean practicing rack position,Bench press 15kg
October 12:,Squat:37.5✔️,Press:5kg✔️,Deadlift:40✔️
Power clean practicing rack position
October 14,Squat:32.5✔️,TEST,TEST,TEST,Bench:17.5✔️,Power clean:5kg(one set),TEST
Deadlift:20kg (forgot to check the orders 3 sets 😕)
October 18,Squat: 35kg✔️,Press: 5kg✔️,TEST,TEST,Power clean: 5kg,Power clean: 5kg
October 20,Squat 39kg✔️,TEST,Deadlift 60kg✔️,Bench 17.5kg✔️,TEST
October 22 had a  Cold ,Squat 37.5✔️,Press 7.5✔️,TEST,TEST,Power clean 10kg✔️
October 25 had a cold ,Squat 35kg one set 20kg deep squats,TEST,Deadlift 30kg ,Bench 15kg one set 17.5 two sets,TEST,Squat 35kg one set 20kg deep squats,Bench 15kg one set 17.5 two sets,Deadlift 30kg 
October 31,Sqaut 20kg deep ✔️,Press 2.5✔️,TEST,TEST,Power clean,Sqaut 20kg deep ✔️
